474330,ADMIN TRIALS AND HEARINGS,Internal,1,Procurement Analyst,PROCUREMENT ANALYST,12158,2,50972,58618
493105,HRA/DEPT OF SOCIAL SERVICES,Internal,1,DEPUTY COMMISSIONER OF OPPM,ADMINISTRATIVE STAFF ANALYST (,10026,M5,88936,169476
478953,DEPARTMENT OF TRANSPORTATION,Internal,2,PRINCIPAL ADMINISTRATIVE ASSOCIATE,PRINCIPAL ADMINISTRATIVE ASSOC,10124,2,53057,77124
484908,DEPARTMENT OF CORRECTION,External,22,Program Support Coordinator,COMMUNITY COORDINATOR,56058,0,54100,62215
475012,DEPT OF CITYWIDE ADMIN SVCS,Internal,1,Director of Data and Analytics,ADMINISTRATIVE STAFF ANALYST (,1002E,0,102292,102292
454719,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Quality Management Project Coordinator, Bureau of the Public Health Laboratory",CITY RESEARCH SCIENTIST,21744,1,64140,70554
455079,DEPARTMENT OF TRANSPORTATION,External,1,IT Project Specialist 7-128,IT PROJECT SPECIALIST,6797,0,75000,160000
461390,NYC HOUSING AUTHORITY,External,1,JOB GENERATION SPECIALIST,COMMUNITY COORDINATOR,56058,0,54100,83981
484459,DEPARTMENT OF CITY PLANNING,Internal,1,ASSOCIATE DATA SCIENTIST,COMPUTER ASSOC (SOFTWARE),13631,2,71707,82463
468485,DEPT OF YOUTH & COMM DEV SRVS,Internal,2,Project Manager,COMMUNITY COORDINATOR,56058,0,54100,83981
467416,OFFICE OF MANAGEMENT & BUDGET,Internal,1,Unit Head  Data & Systems,BUDGET ANALYST (OMB),6088,2,98388,98388
441604,POLICE DEPARTMENT,External,1,IT AUTOMATION AND MONITORING ENGINEER,IT AUTOMATION AND MONITORING E,95712,0,75000,75000
473637,CONSUMER AFFAIRS,Internal,1,Vending Unit Supervisor,ASSOCIATE INSPECTOR (CONSUMER,33998,1,62183,71510
468451,DEPT OF ENVIRONMENT PROTECTION,External,1,Information Security Specialist,IT SECURITY SPECIALIST,95622,0,130000,180000
471452,MAYORS OFFICE OF CONTRACT SVCS,External,2,"Technology Project Analyst, Technology Strategy",RESEARCH PROJECTS COOR(MA)-MGR,0527A,M1,60000,80000
455529,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Director of Education & Training,CITY RESEARCH SCIENTIST,21744,2,75504,93776
471187,OFFICE OF MANAGEMENT & BUDGET,External,1,EEO Officer,BUDGET ANALYST (OMB)-MANAGERIA,0608A,M2,98388,141766
467794,DEPARTMENT OF BUSINESS SERV.,Internal,3,SMALL BUSINESS ADVOCATE,BUSINESS PROMOTION COORDINATOR,60860,1,42324,72774
486496,NYC HOUSING AUTHORITY,External,2,CONSTRUCTION PROJECT MANAGER,CONSTRUCTION PROJECT MANAGER,34202,2,67757,98128
487148,CONSUMER AFFAIRS,External,1,Research Intern,COLLEGE AIDE (ALL CITY DEPTS),10209,1,15.5,19.9
471310,TAXI & LIMOUSINE COMMISSION,External,1,Project Manager - IT,COMPUTER SPECIALIST (SOFTWARE),13632,4,98901,114000
474787,MAYORS OFFICE OF CONTRACT SVCS,External,1,"Senior Business Analyst, Technology Innovation & Solutions",RESEARCH PROJECTS COOR(MA)-MGR,0527A,M1,65000,85000
484698,DEPT OF ENVIRONMENT PROTECTION,Internal,3,ASSISTANT PROJECT MANAGER,ASSISTANT CIVIL ENGINEER,20210,0,57078,85646
471334,MAYORS OFFICE OF CONTRACT SVCS,External,2,"Analyst, Procurement Operations",RESEARCH PROJECTS COORDINATOR,5277,0,50000,55000
484977,FINANCIAL INFO SVCS AGENCY,Internal,1,FMS REPORTING and BUSINESS INTELLIGENCE ARCHITECT,SENIOR IT ARCHITECT,95711,0,0,100000
466702,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Executive Director,ADMINISTRATIVE ENGINEER,10015,M4,80931,208826
485892,TAXI & LIMOUSINE COMMISSION,External,1,Technical Support Staff,COMPUTER AIDE,13620,2,44404,65888
490660,DEPT OF ENVIRONMENT PROTECTION,Internal,23,Engineering Technician II,ENGINEERING TECHNICIAN,20113,2,42114,59724
490660,DEPT OF ENVIRONMENT PROTECTION,Internal,23,Engineering Technician II,ENGINEERING TECHNICIAN,20113,2,42114,59724
484579,DEPT OF ENVIRONMENT PROTECTION,Internal,1,HUMAN RESOURCES PERSONNEL COORDINATOR,STAFF ANALYST,12626,1,50078,68181
459019,DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Director of Evaluation and Analytics,CITY RESEARCH SCIENTIST,21744,3,84468,111003
461884,OFFICE OF EMERGENCY MANAGEMENT,External,1,MONITORING AND EVALUATION PROGRAM MANAGER,EMERGENCY PREPAREDNESS SPECIAL,6766,1,65000,72000
487241,NYC HOUSING AUTHORITY,Internal,1,Manager-Development Control,ADMINISTRATIVE ACCOUNTANT,10001,M1,58700,161534
484244,DEPARTMENT OF SANITATION,External,1,.Net Developer,COMPUTER SPECIALIST (SOFTWARE),13632,4,98901,136951
455688,DEPARTMENT FOR THE AGING,External,1,Nutrition Consultant,NUTRITION CONSULTANT,50415,0,61990,71288
482887,NYC HOUSING AUTHORITY,External,1,ADMINISTRATIVE HOUSING SUPERINTENDENT,ADMINISTRATIVE HOUSING SUPERIN,10019,M1,58700,161534
486831,DEPARTMENT OF SANITATION,Internal,1,Geospatial Data Scientist,CITY RESEARCH SCIENTIST,21744,3,84468,111003
447041,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Safety and Health Coordinator,CITY RESEARCH SCIENTIST,21744,1,64140,70554
492412,TAXI & LIMOUSINE COMMISSION,Internal,1,Programs Intern,COLLEGE AIDE (ALL CITY DEPTS),10209,1,15.5,19.9
466353,OFFICE OF THE COMPTROLLER,Internal,1,Legal Secretary- Litigation Division,"LEGAL SECRETARIAL ASST- L2,3,4",1022A,2,42000,50000
491620,BOARD OF CORRECTION,Internal,1,Director of Environmental Safety,DIRECTOR OF CORRECTIONAL STAND,6836,M1,88000,88000
468630,DEPARTMENT OF BUSINESS SERV.,External,1,WORKFORCE SYSTEMS REPORTING & DEVELOPMENT MANAGER,STAFF ANALYST,12626,2,58152,74479
419921,HUMAN RIGHTS COMMISSION,Internal,1,Associate Human Rights Specialist,ASSOCIATE HUMAN RIGHTS SPECIAL,55038,1,56746,65258
471173,FIRE DEPARTMENT,External,1,Data Scientist - Risk,CITY RESEARCH SCIENTIST,21744,3,84468,97138
467509,DEPT OF YOUTH & COMM DEV SRVS,Internal,1,PROGRAM MANAGER UNITY WORKS,ADMINISTRATIVE STAFF ANALYST (,1002D,0,60435,104000
467784,NYC HOUSING AUTHORITY,External,1,Child Under 6 Abatement Project Manager,ASSOCIATE PROJECT MANAGER,22427,2,74650,109409
466398,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Executive Director,ADMINISTRATIVE STAFF ANALYST (,10026,M4,80931,208826
485121,DEPARTMENT OF TRANSPORTATION,Internal,1,"Deputy Director, Parking Planning & Policy",TRANSPORTATION SPECIALIST,22316,3,74650,109409
457936,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Data Analyst,IT INFRASTRUCTURE ENGINEER,95714,0,75000,90943
482403,DEPT OF YOUTH & COMM DEV SRVS,External,1,Senior Director of Human Resources,ADMINISTRATIVE STAFF ANALYST (,10026,M4,80931,140000
486650,DEPT OF ENVIRONMENT PROTECTION,External,1,WSCP SUPPORT STAFF,COLLEGE AIDE (ALL CITY DEPTS),10209,1,15.5,19.9
466135,DEPT OF CITYWIDE ADMIN SVCS,Internal,1,Application Developer,COMPUTER SYSTEMS MANAGER,10050,M3,135000,135000
486511,DEPT OF CITYWIDE ADMIN SVCS,Internal,1,Deputy Director of Exam Development Group,TESTS AND MEASUREMENT SPECIAL,12704,3,70611,81203
491620,BOARD OF CORRECTION,External,1,Director of Environmental Safety,DIRECTOR OF CORRECTIONAL STAND,6836,M1,88000,88000
455481,TAXI & LIMOUSINE COMMISSION,External,1,Operations Analyst,COMMUNITY COORDINATOR,56058,0,54100,62215
467509,DEPT OF YOUTH & COMM DEV SRVS,External,1,PROGRAM MANAGER UNITY WORKS,ADMINISTRATIVE STAFF ANALYST (,1002D,0,60435,104000
490690,DEPT OF PARKS & RECREATION,External,1,Director of IT Project Management,IT PROJECT SPECIALIST,95710,0,110000,115000
472047,DEPT OF CITYWIDE ADMIN SVCS,External,1,Project Manager,ARCHITECT,21215,2,80557,89500
468293,OFFICE OF THE COMPTROLLER,External,1,IT and Security Auditor,CYBER SECURITY ANALYST,13633,1,65000,77250
426527,DEPARTMENT OF CORRECTION,Internal,1,Payroll Analyst,STAFF ANALYST,12626,1,50078,57590
482658,NYC HOUSING AUTHORITY,Internal,1,ADMINISTRATIVE HOUSING SUPERINTENDENT,ADMINISTRATIVE HOUSING SUPERIN,10019,M1,58700,161534
465072,DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Program Manager,COMMUNITY COORDINATOR,56058,0,54100,69222
462299,DEPARTMENT OF BUSINESS SERV.,External,1,"PROGRAM MANAGER, BID DEVELOPMENT",CITY PLANNER,22122,1,55208,79732
489362,DEPARTMENT OF CITY PLANNING,Internal,1,SOFTWARE ENGINEERING TEAM LEAD,COMPUTER SPECIALIST (SOFTWARE),13632,4,100000,113736
485670,DEPARTMENT OF FINANCE,Internal,1,Fleet Coordinator,PRINCIPAL ADMINISTRATIVE ASSOC,10124,2,53057,61015
466255,TEACHERS RETIREMENT SYSTEM,External,1,Senior Business Analyst,ADMINISTRATIVE RETIREMENT BENE,82986,M3,72038,120000
433632,OFFICE OF MANAGEMENT & BUDGET,Internal,1,Analyst  Technology Budget & Management,BUDGET ANALYST (OMB),6088,1,46856,70291
482723,CONSUMER AFFAIRS,External,1,"Program Officer, Asset Building",COMMUNITY COORDINATOR,56058,0,54100,62215
462399,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Business Specialist,PRINCIPAL ADMINISTRATIVE ASSOC,10124,2,53057,77124
485120,DEPT OF ENVIRONMENT PROTECTION,External,1,BIM Designer,ADMINISTRATIVE PROJECT MANAGER,8300B,0,53702,148745
489891,NYC HOUSING AUTHORITY,Internal,1,Director of Compliance,ADMINISTRATIVE INVESTIGATOR,10020,M4,80931,208826
137433,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Contract Analyst,PROCUREMENT ANALYST,12158,3,50598,85053
486405,DEPT OF CITYWIDE ADMIN SVCS,Internal,1,Human Resources Generalist,STAFF ANALYST,12626,1,53797,61866
485212,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Asset Reliability Administrator,CITY RESEARCH SCIENTIST,21744,4A,94283,122290
467631,DEPARTMENT FOR THE AGING,Internal,1,Project Specialist and Coordinator,ADMINISTRATIVE  PROGRAM OFFICE,10084,M1,80000,89879
453712,NYC HOUSING AUTHORITY,External,1,Program Manager for Energy Policy,ASSOCIATE HOUSING DEVELOPMENT,22508,0,74650,109409
482609,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Director of Program Management Office,ADMINISTRATIVE ENGINEER,10015,M4,80931,208826
482145,DEPARTMENT OF CITY PLANNING,Internal,1,BUSINESS IMPROVEMENT ANALYST,CITY PLANNER,22122,2,65208,74989
484977,FINANCIAL INFO SVCS AGENCY,External,1,FMS REPORTING and BUSINESS INTELLIGENCE ARCHITECT,SENIOR IT ARCHITECT,95711,0,0,100000
489362,DEPARTMENT OF CITY PLANNING,External,1,SOFTWARE ENGINEERING TEAM LEAD,COMPUTER SPECIALIST (SOFTWARE),13632,4,100000,113736
492777,CONSUMER AFFAIRS,Internal,1,Network Engineer,COMPUTER ASSOC (SOFTWARE),13631,1,66597,76587
475792,DEPARTMENT OF CORRECTION,External,1,Middleware Engineer,SENIOR IT ARCHITECT,95711,0,100000,160000
466434,DEPARTMENT OF SANITATION,Internal,1,Java Developer,CERT IT DEVELOPER (APP),13643,4,98901,149277
484536,MAYORS OFFICE OF CONTRACT SVCS,Internal,1,"Senior Analyst, Learning Management",RESEARCH PROJECTS COOR(MA)-MGR,0527A,M1,60000,70000
455083,DEPARTMENT OF TRANSPORTATION,Internal,2,ITT Project Specialist 9-136/141,IT PROJECT SPECIALIST,6797,0,75000,160000
486040,DEPT OF CITYWIDE ADMIN SVCS,External,1,Portfolio Specialist,ARCHITECT,21215,2,80557,92640
467415,OFFICE OF MANAGEMENT & BUDGET,Internal,2,Supervising Analysts  Data & Systems,BUDGET ANALYST (OMB),6088,2,70291,79428
460472,DEPT OF CITYWIDE ADMIN SVCS,External,1,"Executive Director, Portfolio Planning and Management",ADMINISTRATIVE SPACE ANALYST,10037,M5,145000,161136
263674,NYC EMPLOYEES RETIREMENT SYS,Internal,1,COMPUTER SPECIALIST (SOFTWARE),COMPUTER SPECIALIST (SOFTWARE),13632,2,79471,102388
467631,DEPARTMENT FOR THE AGING,External,1,Project Specialist and Coordinator,ADMINISTRATIVE  PROGRAM OFFICE,10084,M1,80000,89879
483979,FINANCIAL INFO SVCS AGENCY,Internal,1,DIRECTOR of INTERNAL AUDIT,IT SECURITY SPECIALIST,95622,0,75000,150000
485892,TAXI & LIMOUSINE COMMISSION,Internal,1,Technical Support Staff,COMPUTER AIDE,13620,2,44404,65888
490437,DEPARTMENT OF CORRECTION,Internal,1,"Director, Programs and Operations",ADMIN COMMUNITY RELATIONS SPEC,1002F,0,90000,115000
490437,DEPARTMENT OF CORRECTION,Internal,1,"Director, Programs and Operations",ADMIN COMMUNITY RELATIONS SPEC,1002F,0,90000,115000
460883,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Environmental Planning Specialist,CITY RESEARCH SCIENTIST,21744,1,64140,70554
455402,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Food Safety Analyst,CITY RESEARCH SCIENTIST,21744,1,64140,70554
474496,CONSUMER AFFAIRS,External,1,Staff Counsel,AGENCY ATTORNEY,30087,2,71423,82137
479554,DEPARTMENT OF CORRECTION,Internal,1,Senior BI Specialist,IT AUTOMATION AND MONITORING E,95712,0,100000,140000
464235,DEPT OF ENVIRONMENT PROTECTION,Internal,2,Project Manager,GEOLOGIST,21915,1,49328,56727
482187,DEPARTMENT OF CITY PLANNING,Internal,1,JUNIOR SOFTWARE ENGINEER - WEB ADMINISTRATOR,COMPUTER ASSOC (SOFTWARE),13631,1,66597,76587
459058,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,School Health Program Manager - CATCH,CITY RESEARCH SCIENTIST,21744,3,84468,97138
473051,DEPARTMENT OF FINANCE,Internal,1,Disability Service Facilitator,ASSOCIATE LABOR RELATIONS ANAL,13369,0,76294,90000
433632,OFFICE OF MANAGEMENT & BUDGET,External,1,Analyst  Technology Budget & Management,BUDGET ANALYST (OMB),6088,1,46856,70291
490601,HOUSING PRESERVATION & DVLPMNT,Internal,1,Senior Project Manager,ASSOCIATE HOUSING DEVELOPMENT,22508,0,74650,85847
472656,OFF OF PAYROLL ADMINISTRATION,Internal,1,Help Desk Level 1 Representative,CLERICAL ASSOCIATE,10251,2,32850,48940
485994,CONSUMER AFFAIRS,Internal,1,Staff Counsel,AGENCY ATTORNEY,30087,1,63228,72712
464046,OFFICE OF THE COMPTROLLER,External,1,Labor Law Investigator,INVESTIGATOR,31105,0,51000,61000
464786,NYC HOUSING AUTHORITY,External,1,"ZONE COORDINATOR, COMMUNICATIONS & CITYWIDE PARTNERSHIPS",COMMUNITY COORDINATOR,56058,0,54100,83981
470033,CONSUMER AFFAIRS,Internal,1,Staff Counsel,AGENCY ATTORNEY,30087,1,63228,72712
483730,TAXI & LIMOUSINE COMMISSION,Internal,2,Data Scientist - Policy Analytics,CITY RESEARCH SCIENTIST,21744,2,75504,94761
420423,NYC EMPLOYEES RETIREMENT SYS,Internal,1,Certified IT Administrator (LAN/WAN) Level II,CERTIFIED IT ADMINISTRATOR (LA,13652,2,82884,95317
471173,FIRE DEPARTMENT,Internal,1,Data Scientist - Risk,CITY RESEARCH SCIENTIST,21744,3,84468,97138
457400,DEPARTMENT OF PROBATION,Internal,2,Human Resources Specialist,CLERICAL ASSOCIATE,10251,3,36390,58953
482217,DEPARTMENT OF CITY PLANNING,Internal,1,ASSISTANT BOROUGH PLANNER,CITY PLANNER,22122,1,55208,63489
459085,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Senior Database Administrator,IT SERVICE MANAGEMENT SPECIALI,95713,0,75000,109539
441604,POLICE DEPARTMENT,Internal,1,IT AUTOMATION AND MONITORING ENGINEER,IT AUTOMATION AND MONITORING E,95712,0,75000,75000
367690,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Software Developer,COMPUTER ASSOC (SOFTWARE),13631,2,69618,80061
479611,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Senior EEO Investigator,ASSOCIATE INVESTIGATOR (NOT PR,31121,2,60132,84611
434222,NYC EMPLOYEES RETIREMENT SYS,Internal,1,COMPUTER SYSTEMS MANAGER,COMPUTER SYSTEMS MANAGER,10050,M7,106729,241434
475473,DEPARTMENT OF CORRECTION,Internal,1,"Senior Advisor to the FDC, Legal & Policy",EXECUTIVE PROGRAM SPECIALIST (,13382,M4,140000,160000
472791,NYC HOUSING AUTHORITY,Internal,1,Economist,ECONOMIST,40910,2,56013,84862
482753,NYC HOUSING AUTHORITY,External,1,ADMINISTRATIVE HOUSING SUPERINTENDENT,ADMINISTRATIVE HOUSING SUPERIN,10019,M1,58700,161534
489387,DEPARTMENT OF TRANSPORTATION,Internal,1,Assistant Supervisor for Contract Payments,ECONOMIST,40910,1,45428,68741
474233,DEPT OF DESIGN & CONSTRUCTION,External,1,Senior Cost Estimator,ADM CONSTRUCTION PRJ MGR-NM,8299A,0,53702,146121
472043,DEPARTMENT OF INVESTIGATION,Internal,1,Senior Programmer,CONFIDENTIAL INVESTIGATOR,31143,3,75000,85000
483726,TAXI & LIMOUSINE COMMISSION,Internal,1,Sr. Data Engineer,COMPUTER ASSOC (OPERATIONS),13621,3,73358,95000
473330,LAW DEPARTMENT,Internal,2,Media Services Technician - Tech Support,MEDIA SERVICES TECHNICIAN,90622,1,42798,55908
473330,LAW DEPARTMENT,Internal,2,Media Services Technician - Tech Support,MEDIA SERVICES TECHNICIAN,90622,1,42798,55908
461506,DEPARTMENT OF TRANSPORTATION,Internal,1,Investigator,INVESTIGATOR,31105,0,41483,66236
471458,MAYORS OFFICE OF CONTRACT SVCS,External,1,"Senior Reporting Analyst, Technology Strategy",RESEARCH PROJECTS COOR(MA)-MGR,0527A,M1,60000,90000
466449,DEPARTMENT OF SANITATION,Internal,1,.Net Developer,COMPUTER SPECIALIST (SOFTWARE),13632,4,98901,136951
482135,DEPARTMENT OF CITY PLANNING,External,1,INTERACTION DESIGNER,COMPUTER SPECIALIST (SOFTWARE),13632,1,81951,94244
468982,MAYORS OFFICE OF CONTRACT SVCS,Internal,1,"Design Lead, Mayor's Office for Economic Opportunity",RESEARCH PROJECTS COOR(MA)-MGR,0527A,M1,90000,105000
467603,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Lead Estimator,*SENIOR ESTIMATOR (GENERAL CON,20127,0,67757,98128
486199,OFFICE OF MANAGEMENT & BUDGET,Internal,2,Analyst  Anti-Corruption,BUDGET ANALYST (OMB),6088,1,46856,70291
487890,OFFICE OF MANAGEMENT & BUDGET,Internal,2,Analyst  MISCELLANEOUS REVENUE,BUDGET ANALYST (OMB),6088,1,46856,70291
479554,DEPARTMENT OF CORRECTION,External,1,Senior BI Specialist,IT AUTOMATION AND MONITORING E,95712,0,100000,140000
487032,OFFICE OF MANAGEMENT & BUDGET,External,1,Analyst  Citywide Savings,BUDGET ANALYST (OMB),6088,1,46856,70291
468630,DEPARTMENT OF BUSINESS SERV.,Internal,1,WORKFORCE SYSTEMS REPORTING & DEVELOPMENT MANAGER,STAFF ANALYST,12626,2,58152,74479
478770,OFFICE OF EMERGENCY MANAGEMENT,Internal,1,GIS MITIGATION PROGRAM MANAGER,EMERGENCY PREPAREDNESS SPECIAL,6766,1,65000,72000
475783,DEPARTMENT OF CORRECTION,Internal,1,IT Architect,SENIOR IT ARCHITECT,95711,0,100000,160000
467030,TAXI & LIMOUSINE COMMISSION,Internal,1,Project Manager - IT,COMPUTER SYSTEMS MANAGER,1005D,0,90000,113000
455093,DEPARTMENT OF TRANSPORTATION,External,1,Senior IT Architect 12-103,SENIOR IT ARCHITECT,6800,0,100000,180000
487037,OFFICE OF MANAGEMENT & BUDGET,External,1,Analyst  Transportation,BUDGET ANALYST (OMB),6088,1,62480,79428
485146,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Contracts Coordinator,PRINCIPAL ADMINISTRATIVE ASSOC,10124,3,58695,89699
486464,DEPT OF CITYWIDE ADMIN SVCS,External,1,Director of Agency Expenses and State Reimbursement,ADMINISTRATIVE STAFF ANALYST (,10026,M4,120000,130000
487619,DEPARTMENT OF FINANCE,External,1,Tax Map Specialist,CITY PLANNING TECHNICIAN,22121,0,38930,44769
491601,FINANCIAL INFO SVCS AGENCY,External,1,UNIX SYSTEM ADMINISTRATOR,SENIOR IT ARCHITECT,95711,0,100000,150000
459263,OFFICE OF MANAGEMENT & BUDGET,External,1,Analyst  Data and Systems,BUDGET ANALYST (OMB),6088,1,46856,84395
440079,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Deputy Director, Mental Health/Office of Housing Services",HEALTH SERVICES MANAGER NON MA,1006C,0,56990,109551
473051,DEPARTMENT OF FINANCE,External,1,Disability Service Facilitator,ASSOCIATE LABOR RELATIONS ANAL,13369,0,76294,90000
464590,DEPT OF ENVIRONMENT PROTECTION,External,1,Green Infrastructure Program analyst,CITY RESEARCH SCIENTIST,21744,1,64140,77609
486588,CONSUMER AFFAIRS,External,1,Customer Service Representative,CLERICAL ASSOCIATE,10251,2,32850,37777
463092,DEPT OF CITYWIDE ADMIN SVCS,External,1,Analyst Real-Time Metering,CITY RESEARCH SCIENTIST,21744,2,75504,86830
485555,OFF OF PAYROLL ADMINISTRATION,External,1,W-2 Records Officer,PUBLIC RECORDS OFFICER,60216,0,44092,63349
469418,DEPARTMENT OF INVESTIGATION,External,3,Data Analyst,CONFIDENTIAL INVESTIGATOR,31143,1,55000,60000
467646,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Cyber Security Analyst,CYBER SECURITY ANALYST,13633,2,78795,113300
468827,MAYORS OFFICE OF CONTRACT SVCS,Internal,1,"UX/UI Designer, Mayor's Office for Economic Opportunity",RESEARCH PROJECTS COOR(MA)-MGR,0527A,M1,90000,105000
486953,DEPARTMENT OF CITY PLANNING,Internal,1,ASSISTANT BOROUGH PLANNER,CITY PLANNER,22122,1,55208,63489
469101,DEPARTMENT OF PROBATION,External,2,Investigator Analyst,INVESTIGATOR (EMPLOYEE DISCIPL,31172,1,42304,64693
468763,DEPARTMENT OF TRANSPORTATION,External,1,Network Engineer,IT SECURITY SPECIALIST,95622,0,75000,180000
468296,OFFICE OF THE COMPTROLLER,External,2,IT Security Specialist - Security Audits (2 positions),IT SECURITY SPECIALIST,95622,0,75000,90000
485090,DEPT OF ENVIRONMENT PROTECTION,External,5,Watershed Maintainer â 5 positions,WATERSHED MAINTAINER,91011,0,41033,60017
248047,LAW DEPARTMENT,Internal,1,Computer Associate,COMPUTER ASSOC (SOFTWARE),13631,1,60189,83440
442498,NYC HOUSING AUTHORITY,Internal,1,Analysis and Reporting Administrator,ADMINISTRATIVE STAFF ANALYST (,1002D,0,60435,161497
376049,LAW DEPARTMENT,Internal,1,Data Analyst,STAFF ANALYST,12626,2,58152,74479
454725,LAW DEPARTMENT,Internal,1,Deputy Chief of Fiscal,ADMINISTRATIVE STAFF ANALYST (,1002A,0,91313,91313
454725,LAW DEPARTMENT,Internal,1,Deputy Chief of Fiscal,ADMINISTRATIVE STAFF ANALYST (,1002A,0,91313,91313
462098,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Continuous Improvement Manager,ADMINISTRATIVE STAFF ANALYST (,1002D,0,60435,161497
355490,NYC EMPLOYEES RETIREMENT SYS,Internal,1,CERTIFIED IT DEVELOPER (APPLICATIONS),CERT IT DEVELOPER (APP),13643,3,85823,121363
484344,HOUSING PRESERVATION & DVLPMNT,Internal,1,Program Analytics & Operations Manager,STAFF ANALYST,12626,2,58152,66875
490571,HOUSING PRESERVATION & DVLPMNT,External,1,Tech,CONSTRUCTION PROJECT MANAGER,34202,1,57078,65640
492604,CONSUMER AFFAIRS,External,1,Business Analyst,COMPUTER SYSTEMS MANAGER,10050,M3,72038,110000
471354,FIRE DEPARTMENT,Internal,1,Data Scientist,CITY RESEARCH SCIENTIST,21744,3,84468,97183
459058,DEPT OF HEALTH/MENTAL HYGIENE,External,1,School Health Program Manager - CATCH,CITY RESEARCH SCIENTIST,21744,3,84468,97138
352367,DEPT OF HEALTH/MENTAL HYGIENE,External,2,"Budget Analyst, Bureau of Budget and Revenue/Budget Administration",ECONOMIST,40910,1,42288,59400
491837,CONSUMER AFFAIRS,Internal,1,Sr. .Net/CRM Developer,COMPUTER SPECIALIST (SOFTWARE),13632,3,92194,118000
482659,FINANCIAL INFO SVCS AGENCY,Internal,1,DIRECTOR of APPLICATION ADMINISTRATION,IT PROJECT SPECIALIST,95710,0,0,120000
263674,NYC EMPLOYEES RETIREMENT SYS,External,1,COMPUTER SPECIALIST (SOFTWARE),COMPUTER SPECIALIST (SOFTWARE),13632,2,79471,102388
434833,DEPT OF HEALTH/MENTAL HYGIENE,Internal,2,"Data Analyst, Bureau of Mental Health",CITY RESEARCH SCIENTIST,21744,2,75504,91171
482135,DEPARTMENT OF CITY PLANNING,Internal,1,INTERACTION DESIGNER,COMPUTER SPECIALIST (SOFTWARE),13632,1,81951,94244
490038,HOUSING PRESERVATION & DVLPMNT,Internal,1,Capital Analyst,ECONOMIST,40910,1,45428,68741
486107,DEPT OF CITYWIDE ADMIN SVCS,External,1,"Analyst, Energy Rates",CITY RESEARCH SCIENTIST,21744,3,84468,97138
399781,LAW DEPARTMENT,Internal,1,Staff Analyst Level 2,STAFF ANALYST,12626,2,58152,74479
482403,DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Senior Director of Human Resources,ADMINISTRATIVE STAFF ANALYST (,10026,M4,80931,140000
